Symbol
BAC
IBN
MO
ENB
GSK
UBS
HMC
FCX
JD
F
NU
PCG
KDP
ET
NEM
USB
BN
BNS
EPD
CSX
STLA
SAN
VALE
RELX
CPRT
ING
BSBR
PLTR
TAK
TFC
KHC
WDS
LI
STM
EXC
D
GM
LYG
LVS
TRP
KMI
BCE
BK
BKR
HAL
MPLX
MFC
CVE
BBD
CTVA
KR
PUK
VICI
DVN
HPQ
GOLD
BCS
TU
WBD
RBLX
GLW
WIT
AEM
DB
WY
TCOM
DAL
RCI
PINS
HPE
FE
EBAY
TS
SE
FTS
SNAP
SYM
NOK
ROL
PFF
RDVY
CIBR
BSCO
ESGE
IGF
BOTZ
USMC
ICLN
FALN
ANGL
PDBC
SDVY
BSCS
BSCN
BSCQ
BSCP
PEY
AIQ
EUFN
