Symbol,ETF Name,Asset Class,Total Assets ,YTD Price Change,Avg. Daily Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,1 Month,1 Year,3 Year,5 Year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETF Database Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
BSR,Beacon Selective Risk ETF,N/A,"$25,966,500",N/A,"10,930",$24.65,-0.32%,No,False,-0.20%,-1.18%,N/A,N/A,N/A,"$26,629,900.00",$0.00,$0.00,"$26,629,900.00","$26,629,900.00","$26,629,900.00",Energy Equities,2023-04-17,1.00%,N/A,$0.00,N/A,N/A,0.00%,N/A,N/A,5,100.00%,40%,20%,1099,$24.17,$25.28,$24.65,$24.65,42.57,N/A,C,N/A,N/A,N/A,N/A,6.15,39.77%,42.66%,147.54,7.05%,4.04%
ARP,PMV Adaptive Risk Parity ETF,N/A,"$22,564,600",0.83%,"3,227",$25.11,0.12%,No,False,0.02%,1.25%,N/A,N/A,N/A,"-$5,564,543.51","$1,266.78",$705.63,"$22,432,121.87","$22,432,121.87","$22,432,121.87",N/A,2022-12-21,1.38%,N/A,$0.01,2022-12-28,$0.01,0.06%,0.08,0.22,7,100.01%,40%,20%,1099,$24.84,$25.22,$25.10,$25.11,51.42,B-,C,N/A,B+,B,N/A,6.66,77.46%,57.99%,91.82,5.98%,5.66%
CLIX,ProShares Long Online/Short Stores ETF,Alternatives,"$22,384,700",18.44%,"2,727",$34.99,-2.18%,No,False,1.00%,-1.68%,26.27%,-27.33%,-3.59%,"-$1,030,255.00",$0.00,"-$336,783.00","-$1,030,255.00","-$1,030,185.84","-$1,030,185.84",Long-Short,2017-11-14,0.65%,N/A,$0.00,2020-12-23,$0.80,0.00%,0.04,0.74,20,69.83%,40%,20%,1099,$33.06,$36.18,$34.73,$35.51,49.80,A,A-,A+,C,B-,N/A,4.85,0.99%,21.14%,21.43,21.26%,0.46%
RSST,Return Stacked U.S. Stocks & Managed Futures ETF,N/A,"$21,587,300",N/A,N/A,$19.20,-0.26%,No,False,-0.13%,-2.62%,N/A,N/A,N/A,"$21,956,987.50","$6,187,952.50","$8,565,915.00","$21,956,987.50","$21,956,987.50","$21,956,987.50",N/A,2023-09-06,1.04%,N/A,$0.00,N/A,N/A,0.00%,N/A,N/A,4,99.99%,40%,20%,1099,$18.55,$19.98,N/A,N/A,45.82,N/A,C,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
HF,DGA Absolute Return ETF,N/A,"$15,850,800",N/A,"9,971",$19.95,-0.40%,No,False,0.24%,2.50%,N/A,N/A,N/A,"$15,685,065.91",$0.00,$0.00,"$15,685,065.91","$15,685,065.91","$15,685,065.91",N/A,2023-08-02,1.53%,N/A,$0.00,N/A,N/A,0.00%,N/A,N/A,8,100.00%,40%,20%,1099,$19.24,$20.11,$19.90,$20.04,60.19,B+,C,N/A,N/A,B-,N/A,6.37,68.50%,47.73%,107.1,6.44%,4.26%
OAIA,Teucrium AiLA Long-Short Agriculture Strategy ETF,Alternatives,"$8,030,960",-8.73%,"1,255",$22.90,-0.09%,No,False,-0.04%,-0.80%,N/A,N/A,N/A,"$3,504,662.50",$0.00,"-$577,825.00","$8,504,637.50","$8,504,637.50","$8,504,637.50",Agricultural Commodities,2022-12-19,1.63%,N/A,$0.00,N/A,N/A,0.00%,0.00,0.67,2,100.00%,40%,20%,1099,$22.80,$23.41,$22.89,$22.90,43.02,B-,C,N/A,B,C+,N/A,0.0,N/A,N/A,N/A,N/A,N/A
CBLS,Clough Long/Short Equity ETF,Alternatives,"$7,265,940",-9.30%,"2,497",$19.19,0.31%,No,False,0.85%,1.45%,-14.15%,N/A,N/A,"$2,281,743.00","$381,930.00","$1,706,448.00","$2,281,743.00","$2,281,743.00","$2,281,743.00",Long-Short,2020-11-13,2.49%,N/A,$0.00,N/A,N/A,0.00%,0.04,0.52,47,62.84%,40%,20%,1099,$18.76,$19.23,$19.19,$19.19,53.48,N/A,C,N/A,N/A,C,N/A,0.0,N/A,N/A,N/A,N/A,N/A
CPI,IQ Real Return ETF,Alternatives,"$6,296,050",3.90%,683,$25.04,-0.60%,No,False,-0.38%,1.16%,5.02%,-0.62%,0.00%,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Hedge Fund,2009-10-27,0.29%,N/A,$0.76,2023-11-01,$0.07,3.03%,0.03,0.27,1000,30.72%,40%,20%,1099,$24.63,$25.34,$25.01,$25.11,49.78,C+,A+,A-,A,B+,B,6.01,30.99%,39.37%,163.63,3.75%,1.72%
RYSE,Cboe Vest 10 Year Interest Rate Hedge ETF,N/A,"$6,247,700",N/A,"1,603",$32.01,2.27%,No,False,-0.39%,-1.75%,N/A,N/A,N/A,"$4,735,672.50",$0.00,$0.00,"$4,735,672.50","$4,735,672.50","$4,735,672.50",N/A,2023-02-03,0.85%,N/A,$0.58,2023-09-29,$0.22,1.82%,N/A,N/A,4,100.00%,40%,20%,1099,$31.29,$33.80,$31.62,$32.20,50.77,B-,C+,N/A,C+,N/A,N/A,5.72,38.10%,33.99%,0.0,0.00%,0.00%
ZIVB,-1x Short VIX Mid-Term Futures Strategy ETF,N/A,"$3,770,480",N/A,"16,568",$20.47,-1.96%,No,False,3.24%,4.77%,N/A,N/A,N/A,"$3,321,748.22",$0.00,"-$5,075,158.00","$3,321,748.22","$3,321,748.22","$3,321,748.22",N/A,2023-04-19,1.35%,N/A,$0.00,N/A,N/A,0.00%,N/A,N/A,3,99.99%,28%,28%,1099,$16.94,$21.07,$20.28,$20.86,57.13,B+,C,N/A,C,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
USE,USCF Energy Commodity Strategy Absolute Return Fund,Alternatives,"$3,480,100",N/A,314,$35.04,0.49%,No,False,-3.47%,-1.53%,N/A,N/A,N/A,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Hedge Fund,2023-05-04,0.79%,N/A,$0.46,2023-08-28,$0.46,1.32%,N/A,N/A,7,100.00%,40%,20%,1099,$34.67,$38.88,$35.04,$35.04,42.31,N/A,C+,N/A,N/A,C+,N/A,0.0,N/A,N/A,N/A,N/A,N/A
EVNT,AltShares Event-Driven ETF,Alternatives,"$2,965,200",6.33%,470,$9.61,0.00%,No,False,-0.09%,-0.39%,7.92%,N/A,N/A,-$764.55,-$858.20,"-$1,072.69",-$764.55,"-$1,945.59","-$1,945.59",Long-Short,2021-09-17,1.29%,N/A,$0.24,2022-12-15,$0.24,2.46%,0.06,0.32,60,58.91%,40%,20%,1099,$9.45,$9.75,$9.61,$9.61,47.97,N/A,B-,N/A,N/A,B-,N/A,6.15,31.68%,42.77%,183.84,2.62%,7.57%
RATE,Global X Interest Rate Hedge ETF,Alternatives,"$2,835,630",10.21%,771,$28.95,3.02%,No,False,-1.26%,-4.79%,5.22%,N/A,N/A,"-$940,241.83",-$129.50,"-$940,603.55","-$939,063.62","$2,333,027.69","$2,333,027.69",Hedge Fund,2022-07-05,0.47%,N/A,$4.72,2023-11-03,$0.05,16.65%,0.00,2.19,3,100.00%,40%,20%,1099,$28.08,$32.08,$28.95,$28.95,49.25,C+,B+,A-,C,A,N/A,5.72,68.04%,33.99%,0.0,0.00%,0.00%
FFLS,Future Fund Long/Short ETF,N/A,"$1,909,000",N/A,"1,076",$18.90,-1.36%,No,False,0.31%,-2.28%,N/A,N/A,N/A,"$1,557,000.00",$0.00,$0.00,"$1,557,000.00","$1,557,000.00","$1,557,000.00",N/A,2023-06-20,1.75%,N/A,$0.00,N/A,N/A,0.00%,N/A,N/A,31,73.00%,40%,20%,1099,$18.26,$19.58,$18.82,$19.07,46.68,C+,C,N/A,N/A,B-,N/A,6.59,72.28%,55.30%,45.56,2.63%,8.65%
OAIE,Optimize AI Smart Sentiment Event-Driven ETF,Alternatives,"$558,556",7.95%,117,$27.74,-0.75%,No,False,-1.40%,-1.69%,14.74%,N/A,N/A,$0.00,$0.00,$0.00,$0.00,"$502,574.87","$502,574.87",Hedge Fund,2022-06-16,1.03%,N/A,$0.07,2022-12-20,$0.07,0.24%,13.17,1.06,19,59.24%,40%,20%,1099,$26.93,$28.79,$27.67,$27.77,46.06,C,C,N/A,B-,B,N/A,6.69,61.83%,59.46%,114.81,8.61%,3.68%
SPKY,ConvexityShares Daily 1.5x SPIKES Futures ETF,Alternatives,"$454,287",-80.10%,"8,638",$3.82,5.23%,No,1.5x,-7.40%,-19.83%,-86.62%,N/A,N/A,"$615,010.00",$0.00,$0.00,"-$366,195.00","-$366,195.00","-$366,195.00",Volatility,2022-08-15,0.79%,N/A,$0.00,N/A,N/A,0.00%,0.00,7.09,2,100.00%,40%,20%,1099,$3.45,$6.03,$3.66,$3.92,41.34,N/A,B-,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
