Symbol,ETF Name,Asset Class,Total Assets ,YTD Price Change,Avg. Daily Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,1 Month,1 Year,3 Year,5 Year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETF Database Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
XBTF,VanEck Bitcoin Strategy ETF,Currency,"$60,273,100",110.51%,"17,400",$35.34,2.58%,No,False,4.49%,29.99%,130.41%,N/A,N/A,"$1,672,490.00",$0.00,"$1,672,490.00","$1,672,490.00","$7,394,340.00","$7,394,340.00",Currency,2021-11-15,0.76%,N/A,$0.07,2023-02-01,$0.07,0.19%,0.00,1.94,12,93.37%,40%,20%,1099,$25.95,$37.42,$34.52,$36.45,73.18,N/A,B+,N/A,N/A,N/A,N/A,5.72,0.00%,33.99%,0.0,0.00%,0.00%
EUO,ProShares UltraShort Euro,Currency,"$41,573,900",5.50%,"27,329",$31.07,0.81%,No,2x,-0.70%,-0.96%,-7.09%,9.28%,4.88%,"-$1,579,379.77","-$1,579,379.77","-$1,579,379.77","-$1,579,379.77","-$1,579,379.77","-$1,579,379.77",Leveraged Currency,2008-11-25,0.95%,N/A,$0.00,N/A,N/A,0.00%,0.00,-0.26,1,100.00%,28%,28%,K-1,$30.65,$31.98,$30.86,$31.18,50.03,A+,B,C+,A+,A-,B+,0.0,N/A,N/A,N/A,N/A,N/A
BTF,Valkyrie Bitcoin and Ether Strategy ETF,Currency,"$32,838,500",112.16%,"172,856",$13.78,5.03%,No,False,8.16%,32.76%,133.72%,N/A,N/A,"-$32,005.00",$0.00,"-$525,765.00","-$32,005.00","-$32,005.00","-$32,005.00",Currency,2021-10-22,1.20%,N/A,$0.19,2023-09-20,$0.07,1.37%,0.00,1.87,5,100.00%,40%,20%,1099,$9.82,$14.26,$13.46,$14.10,75.58,N/A,B-,N/A,N/A,B,N/A,5.72,0.00%,33.99%,0.0,0.00%,0.00%
YCS,ProShares UltraShort Yen,Currency,"$31,005,600",46.04%,"19,812",$78.23,0.57%,No,2x,1.44%,3.96%,16.71%,32.06%,14.60%,"$3,871,101.47","$3,871,101.47","$3,871,101.47","$3,871,101.47","$3,871,101.47","$3,871,101.47",Leveraged Currency,2008-11-25,0.95%,N/A,$0.00,N/A,N/A,0.00%,0.00,-0.10,1,100.00%,28%,28%,K-1,$74.98,$78.08,$77.88,$78.41,63.48,A,C+,A+,B+,B-,A+,0.0,N/A,N/A,N/A,N/A,N/A
MAXI,Simplify Bitcoin Strategy PLUS Income ETF,N/A,"$30,013,500",116.09%,"4,373",$20.68,3.35%,No,False,5.00%,30.57%,136.36%,N/A,N/A,"$14,405,450.00","$393,500.00","$776,700.00","$14,405,450.00","$19,532,400.00","$19,532,400.00",N/A,2022-09-29,0.11%,N/A,$1.80,2023-10-26,$0.15,8.69%,0.00,-4.61,6,99.99%,40%,20%,1099,$14.99,$21.97,$20.19,$21.39,73.80,B,A,A+,C,A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
YCL,ProShares Ultra Yen,Currency,"$19,409,700",-29.95%,"33,973",$24.21,-0.37%,No,2x,-1.26%,-3.39%,-13.94%,-26.11%,-14.73%,"$2,472,840.10","$1,217,845.20","$1,217,845.20","$2,472,840.10","$2,472,840.10","$2,472,840.10",Leveraged Currency,2008-11-24,0.95%,N/A,$0.00,N/A,N/A,0.00%,0.00,0.11,1,100.00%,28%,28%,K-1,$24.21,$25.11,$24.13,$24.33,38.39,A-,C,C,B,B+,A,0.0,N/A,N/A,N/A,N/A,N/A
EFUT,VanEck Ethereum Strategy ETF,N/A,"$10,198,700",N/A,N/A,$19.66,6.04%,No,False,9.94%,19.00%,N/A,N/A,N/A,"$8,449,855.00",$0.00,"$889,855.00","$8,449,855.00","$8,449,855.00","$8,449,855.00",N/A,2023-10-02,0.66%,N/A,$0.00,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,40%,20%,1099,$15.05,$19.71,$19.09,$20.03,70.10,N/A,B,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
CEW,WisdomTree Emerging Currency Strategy Fund,Currency,"$8,891,000",4.68%,"1,861",$17.63,-0.56%,No,False,-0.03%,2.41%,9.38%,0.10%,0.34%,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Currency,2009-05-06,0.55%,E*TRADE,$0.13,2022-12-23,$0.13,0.75%,0.00,0.26,4,100.00%,40%,20%,1099,$17.10,$17.85,$17.61,$17.68,56.51,A-,B+,B+,A,A,A-,0.0,N/A,N/A,N/A,N/A,N/A
EETH,ProShares Ether Strategy ETF,Currency,"$8,242,810",N/A,N/A,$49.24,7.56%,No,False,12.67%,24.38%,N/A,N/A,N/A,"$799,181.39",$0.00,"$798,793.00","$799,181.39","$799,181.39","$799,181.39",Currency,2023-10-02,0.95%,N/A,$0.05,2023-11-01,$0.05,0.12%,N/A,N/A,1,100.00%,40%,20%,1099,$35.64,$48.83,$47.53,$50.33,72.94,N/A,C+,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
ULE,ProShares Ultra Euro,Currency,"$6,137,930",-1.63%,"8,809",$11.08,-0.72%,No,2x,0.96%,1.19%,11.58%,-9.61%,-5.82%,"-$543,446.90",$0.00,"-$543,446.90","-$543,446.90","-$543,446.90","-$543,446.90",Leveraged Currency,2008-11-25,0.95%,N/A,$0.00,N/A,N/A,0.00%,0.00,0.27,1,100.00%,28%,28%,K-1,$10.69,$11.22,$11.04,$11.15,52.20,B,B-,A,A,B,A-,0.0,N/A,N/A,N/A,N/A,N/A
DEFI,Hashdex Bitcoin Futures ETF,Currency,"$2,198,000",111.00%,415,$45.13,2.64%,No,False,4.39%,30.01%,125.65%,N/A,N/A,"$43,578.60",-$170.40,-$170.40,"-$961,461.40","$1,499,852.79","$1,499,852.79",Currency,2022-09-15,0.92%,N/A,$0.00,N/A,N/A,0.00%,0.00,-4.51,2,100.00%,40%,20%,1099,$33.01,$47.91,$44.63,$46.13,73.33,B-,B,N/A,A,C,N/A,0.0,N/A,N/A,N/A,N/A,N/A
BETE,ProShares Bitcoin & Ether Equal Weight Strategy ETF,Currency,"$1,466,870",N/A,N/A,$51.37,5.09%,No,False,8.40%,27.24%,N/A,N/A,N/A,"$465,141.68",$0.00,"$464,749.00","$465,141.68","$465,141.68","$465,141.68",Currency,2023-10-02,1.33%,N/A,$0.04,2023-11-01,$0.04,0.08%,N/A,N/A,2,100.00%,40%,20%,1099,$37.44,$52.67,$51.13,$51.85,74.69,N/A,C,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
BITC,Bitwise Bitcoin Strategy Optimum Roll ETF,Currency,"$1,266,950",N/A,"1,852",$31.22,2.70%,No,False,4.32%,30.36%,N/A,N/A,N/A,"$1,425,300.00","$765,825.00","$765,825.00","$1,425,300.00","$1,425,300.00","$1,425,300.00",Currency,2023-03-21,0.85%,N/A,$0.00,N/A,N/A,0.00%,0.00,0.00,3,100.00%,40%,20%,1099,$22.81,$33.12,$30.63,$32.14,72.95,C+,C+,N/A,A,C,N/A,5.71,14.29%,33.29%,1.6,0.00%,0.00%
BETH,ProShares Bitcoin & Ether Market Cap Weight Strategy ETF,Currency,"$1,007,710",N/A,N/A,$52.32,3.91%,No,False,6.46%,28.50%,N/A,N/A,N/A,"-$489,024.47","-$489,831.00","-$489,831.00","-$489,024.47","-$489,024.47","-$489,024.47",Currency,2023-10-02,1.33%,N/A,$0.06,2023-11-01,$0.06,0.12%,N/A,N/A,2,100.00%,40%,20%,1099,$38.28,$54.47,$51.93,$53.11,74.95,N/A,C,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
BTOP,Bitwise Bitcoin and Ether Equal Weight Strategy ETF,Currency,"$767,798",N/A,N/A,$32.23,4.92%,No,False,8.11%,27.51%,N/A,N/A,N/A,"$625,000.00",$0.00,$0.00,"$625,000.00","$625,000.00","$625,000.00",Currency,2023-10-02,0.85%,N/A,$0.00,N/A,N/A,0.00%,N/A,N/A,3,100.00%,40%,20%,1099,$23.48,$33.08,$31.97,$32.56,74.12,N/A,C+,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
AETH,Bitwise Ethereum Strategy ETF,Currency,"$713,889",N/A,N/A,$30.70,7.53%,No,False,12.52%,24.60%,N/A,N/A,N/A,"$625,000.00",$0.00,$0.00,"$625,000.00","$625,000.00","$625,000.00",Currency,2023-09-29,0.85%,N/A,$0.00,N/A,N/A,0.00%,N/A,N/A,3,100.00%,40%,20%,1099,$22.20,$30.49,$29.77,$31.17,72.95,N/A,C+,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
SETH,ProShares Short Ether Strategy ETF,N/A,$776,N/A,N/A,$35.92,-7.49%,No,False,-11.79%,-11.79%,N/A,N/A,N/A,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,N/A,2023-11-02,0.95%,N/A,$0.00,N/A,N/A,0.00%,N/A,N/A,1,100.00%,40%,20%,1099,N/A,N/A,$35.54,$36.42,"",N/A,C+,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
