Symbol,ETF Name,Asset Class,Total Assets ,YTD Price Change,Avg. Daily Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,1 Month,1 Year,3 Year,5 Year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETF Database Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
DRN,Direxion Daily Real Estate Bull 3x Shares,Real Estate,"$51,337,900",-31.09%,"797,179",$6.58,-4.64%,No,3x,-2.95%,1.23%,-26.65%,-10.97%,-18.14%,"$6,681,950.00","$386,850.00","$3,925,800.00","$6,681,950.00","$6,681,950.00","$6,681,950.00",Leveraged Real Estate,2009-07-16,1.01%,N/A,$0.25,2023-09-19,$0.06,3.57%,0.03,2.70,32,74.67%,40%,20%,1099,$5.41,$7.47,$6.42,$6.85,47.05,A+,C+,A+,C+,B+,A-,6.18,44.23%,43.39%,90.22,1.99%,9.76%
NURE,Nuveen Short-Term REIT ETF,Real Estate,"$46,661,000",-4.65%,"10,841",$26.35,-1.16%,No,False,0.28%,-2.77%,-3.81%,6.16%,2.88%,"-$42,830.00","$1,326,090.00","$1,326,090.00","-$42,830.00","-$42,830.00","-$42,830.00",Real Estate,2016-12-19,0.35%,N/A,$1.05,2023-09-27,$0.28,4.00%,26.51,0.92,37,51.28%,40%,20%,1099,$24.97,$27.86,$26.21,$26.61,45.48,B,A-,A+,C,B,B,4.47,5.71%,8.21%,65.78,0.00%,7.54%
REK,ProShares Short Real Estate,Real Estate,"$41,672,700",10.57%,"62,429",$21.96,1.43%,Yes,-1x,0.92%,-1.21%,7.15%,-2.35%,-5.96%,"-$1,404,695.00","-$6,028,465.00","-$1,404,695.00","-$1,404,695.00","-$1,404,695.00","-$1,404,695.00",Leveraged Real Estate,2010-03-18,0.95%,N/A,$0.61,2023-09-20,$0.22,2.82%,0.00,-0.87,1,100.00%,40%,20%,1099,$21.02,$23.46,$21.67,$22.13,51.10,B-,C,B-,B,C,C,0.0,N/A,N/A,N/A,N/A,N/A
RIET,Hoya Capital High Dividend Yield ETF,Real Estate,"$41,412,000",-5.46%,"28,248",$9.36,-1.68%,No,False,-1.38%,0.54%,-6.89%,N/A,N/A,"$1,466,600.00","$287,500.00","$1,087,900.00","$1,466,600.00","$1,466,600.00","$1,466,600.00",Real Estate,2021-09-21,0.50%,N/A,$1.03,2023-10-17,$0.09,10.78%,0.00,1.13,103,17.00%,40%,20%,1099,$8.67,$9.84,$9.26,$9.53,47.66,B-,A-,N/A,A,A,N/A,4.06,0.31%,5.91%,47.93,1.38%,10.98%
WPS,iShares International Developed Property ETF,Real Estate,"$35,194,300",-6.93%,"2,598",$25.00,-0.48%,No,False,-0.62%,0.51%,0.37%,-5.63%,-3.21%,"-$2,513,880.00","-$2,513,880.00","-$2,513,880.00","-$2,513,880.00","-$2,513,880.00","-$2,513,880.00",Global Real Estate,2007-07-30,0.48%,N/A,$0.50,2023-09-26,$0.25,1.97%,7.97,0.83,365,25.65%,40%,20%,1099,$23.08,$25.75,$24.91,$25.17,51.66,B-,A-,B,A,B+,A,6.66,91.03%,58.11%,63.44,1.56%,33.69%
BLDG,Cambria Global Real Estate ETF,Real Estate,"$21,586,300",-9.47%,"1,871",$22.51,-1.57%,No,False,-1.03%,0.68%,-3.96%,2.39%,N/A,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Global Real Estate,2020-09-24,0.60%,N/A,$1.33,2023-09-21,$0.32,5.90%,0.05,0.87,81,18.91%,40%,20%,1099,$21.31,$23.32,$22.47,$22.57,47.99,C+,B-,N/A,N/A,C+,N/A,4.13,0.26%,6.18%,67.78,2.32%,13.63%
WTRE,WisdomTree New Economy Real Estate Fund,Real Estate,"$18,803,500",-4.20%,"4,705",$15.41,-1.53%,No,False,-1.67%,1.19%,-0.40%,-11.72%,-7.76%,"-$738,245.00",$0.00,"-$738,245.00","-$738,245.00","-$738,245.00","-$738,245.00",Real Estate,2007-06-05,0.58%,N/A,$0.32,2023-09-25,$0.11,2.04%,41.90,0.87,51,48.28%,40%,20%,1099,$14.32,$16.07,$15.32,$15.57,48.53,C+,B-,C,A-,N/A,N/A,6.9,94.87%,67.44%,93.56,0.00%,25.51%
VRAI,Virtus Real Asset Income ETF,Real Estate,"$17,545,700",-4.80%,"1,736",$21.70,-0.78%,No,False,-2.10%,0.88%,-2.32%,8.57%,N/A,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Real Estate,2019-02-07,0.55%,N/A,$1.20,2023-09-20,$0.21,5.47%,0.09,1.10,89,14.43%,40%,20%,1099,$21.31,$22.57,$21.61,$21.89,44.32,B-,B-,A,A,A-,N/A,5.53,11.11%,30.64%,482.61,4.27%,5.97%
ROOF,IQ CBRE NextGen Real Estate ETF,Real Estate,"$17,355,000",-5.10%,"3,230",$17.59,-1.40%,No,False,-1.15%,0.56%,-1.21%,4.02%,-2.50%,"-$887,770.00",$0.00,"-$887,770.00","-$887,770.00","-$887,770.00","-$887,770.00",Real Estate,2011-06-14,0.60%,N/A,$0.62,2023-09-15,$0.15,3.49%,16.80,1.15,87,47.47%,40%,20%,1099,$16.32,$18.32,$17.48,$17.79,48.82,C,C,C+,A-,A-,B+,6.5,95.43%,51.69%,98.81,0.00%,20.72%
REIT,ALPS Active REIT ETF,Real Estate,"$16,942,500",-4.81%,"2,030",$22.20,-1.77%,No,False,-1.13%,-1.04%,-2.89%,N/A,N/A,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Real Estate,2021-02-24,0.68%,N/A,$0.79,2023-09-21,$0.23,3.57%,0.00,1.01,31,53.75%,40%,20%,1099,$20.92,$23.31,$22.17,$22.25,46.49,C+,C,B+,B+,C,N/A,5.51,35.43%,30.39%,96.85,4.19%,16.54%
MVRL,ETRACS Monthly Pay 1.5x Leveraged Mortgage REIT ETN,Real Estate,"$16,514,400",-24.31%,"12,455",$15.87,-3.88%,No,1.5x,-1.17%,-4.49%,-25.00%,-19.70%,N/A,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Leveraged Real Estate,2020-06-02,0.95%,N/A,$0.00,N/A,N/A,0.00%,0.00,1.93,0,N/A,40%,20%,1099,$13.48,$17.37,$15.62,$16.38,45.89,N/A,N/A,N/A,N/A,C,N/A,0.0,N/A,N/A,N/A,N/A,N/A
RDOG,ALPS REIT Dividend Dogs ETF,Real Estate,"$10,942,700",-7.63%,782,$32.97,-1.99%,No,False,-2.21%,1.84%,-7.98%,4.39%,-0.41%,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Real Estate,2008-05-07,0.35%,N/A,$2.53,2023-09-21,$0.70,7.67%,0.05,1.08,47,24.63%,40%,20%,1099,$30.74,$34.64,$32.75,$33.34,48.18,C,A-,B,A,A,N/A,4.05,2.86%,5.84%,82.45,2.21%,11.83%
CHIR,Global X MSCI China Real Estate ETF,Real Estate,"$6,819,300",-30.78%,"10,388",$14.65,-3.11%,No,False,1.39%,-9.43%,-8.68%,-31.98%,N/A,"$467,977.86",$905.00,-$543.83,"$467,977.86","$467,800.62","$467,800.62",Global Real Estate,2018-12-07,0.66%,N/A,$1.10,2023-06-29,$0.21,7.24%,6.75,0.30,25,67.68%,40%,20%,1099,$14.19,$15.35,$14.42,$14.84,40.37,C+,C,N/A,N/A,A+,N/A,4.04,0.00%,5.77%,20.99,0.00%,4.32%
CRED,Columbia Research Enhanced Real Estate ETF,Real Estate,"$2,773,220",N/A,"1,612",$18.21,-1.51%,No,False,-1.61%,1.82%,N/A,N/A,N/A,"-$2,059,400.00",$0.00,$0.00,"-$2,059,400.00","-$2,059,400.00","-$2,059,400.00",Corporate Bonds,2023-04-26,0.33%,N/A,$0.37,2023-09-25,$0.21,2.02%,0.00,-0.41,74,60.65%,40%,20%,1099,$16.99,$18.95,$18.21,$18.21,48.93,A-,A,A-,B,A-,A+,6.05,82.29%,40.04%,74.34,1.32%,14.56%
